time_published,Adj Close,Al Jareeza,Associated Press,Barrons,Benzinga,Business Insider,Business Standard,CNBC,CNN,Canada Newswire,Cointelegraph,Decrypt.co,Financial News London,Financial Times,Forbes,Fox Business News,GlobeNewswire,Investing News Network,Investor Ideas,Investors Business Daily,Kiplinger,MarketWatch,Money Control,Money Morning,Motley Fool,New York Times,PR Newswire,PennyStocks.com,Reuters,South China Morning Post,StockMarket.com,Stocknews.com,The Atlantic,The Economist,The Financial Express,The Street,The Week News,UPI Business,Wall Street Journal,Zacks Commentary
2023-11-03,365.2052001953125,-1.0,-0.03218633333333334,-1.0,0.2573322,-0.0022976666666666653,-1.0,0.170467,-0.0767655,-1.0,-1.0,-1.0,-1.0,0.088352,0.2195628,0.0486005,-1.0,-1.0,-1.0,0.147136,-1.0,-1.0,-1.0,-1.0,0.22297225,-1.0,0.1423605,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.189331,-1.0,-1.0,-1.0,0.229586
2023-11-06,366.69500732421875,-1.0,0.22025050000000002,-1.0,0.19046227272727273,0.1576895,-1.0,-1.0,0.038523,-1.0,0.088734,0.241182,-1.0,-1.0,0.14154450000000002,-1.0,0.11970785714285714,0.281056,-1.0,0.199827,-1.0,-1.0,-1.0,-1.0,0.170548,-1.0,0.264691,-1.0,-1.0,-1.0,-1.0,-1.0,-0.090631,-1.0,-0.048127,-1.0,-1.0,-1.0,-1.0,0.2152198
2023-11-07,370.1612548828125,-1.0,-1.0,-1.0,0.11893185714285714,0.1385595,-1.0,0.126994,0.064282,0.27388066666666666,-1.0,0.12359,-1.0,-1.0,0.01058350000000001,-0.094007,0.19187549999999998,0.11309200000000001,-1.0,0.154993,-1.0,0.08011800000000001,-1.0,-1.0,-1.0,-1.0,0.318475,-1.0,0.079008,0.134774,-1.0,-1.0,-1.0,-1.0,0.014564500000000001,-1.0,-1.0,-1.0,-1.0,0.15949000000000002
2023-11-08,370.39959716796875,-1.0,-1.0,-1.0,0.22068009090909088,0.06141150000000001,-1.0,-1.0,0.020437200000000003,-1.0,-1.0,0.272162,-1.0,-1.0,0.22725849999999997,-1.0,0.17470642857142857,0.154662,-1.0,0.031128,-1.0,-1.0,-1.0,-1.0,0.24647000000000002,-1.0,0.23118266666666668,-1.0,0.020202,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17849033333333333
2023-11-09,367.5491943359375,-1.0,-0.337654,-1.0,0.13079314285714286,0.277628,-1.0,0.10324124999999999,-0.0050140000000000046,0.18147649999999999,0.063255,0.106043,-1.0,-1.0,-1.0,0.251027,0.168088,0.209517,-1.0,0.072124,-1.0,0.141843,-1.0,-1.0,0.16958600000000001,-1.0,0.2142365,-1.0,-0.385306,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1937352
2023-11-10,375.8125305175781,0.175569,-1.0,-1.0,0.15160066666666666,0.1731843333333333,-1.0,0.190743,-0.017582333333333335,0.149725,-1.0,0.28729,-1.0,-1.0,0.212022,0.117436,-1.0,0.255469,-1.0,0.145204,0.041943,0.061599,-1.0,-1.0,0.34610725,-1.0,0.13868253846153847,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.194149,-1.0,-1.0,-1.0,0.080704
2023-11-13,374.6405334472656,-1.0,-0.034583333333333334,-1.0,0.11962627777777778,-1.0,-1.0,-1.0,-0.047182,0.26343,-1.0,-1.0,-1.0,-1.0,0.131303,-1.0,0.18086875,0.171303,-1.0,0.1941255,-1.0,-1.0,-1.0,-1.0,0.131152,-1.0,0.21764039999999998,-1.0,0.118257,-0.031514,-1.0,-1.0,-1.0,0.164428,-1.0,-1.0,-1.0,-1.0,-1.0,0.19330322222222224
2023-11-14,382.7051696777344,-1.0,0.009635,-1.0,0.1676307777777778,0.101761,-1.0,-1.0,0.0960215,0.106837,-1.0,0.2039535,-1.0,-1.0,0.23110733333333333,-0.089051,0.19770512499999998,-1.0,-1.0,-1.0,-1.0,0.2700386666666667,-1.0,-1.0,0.1579025,-1.0,0.22284275,-1.0,0.087505,-1.0,-1.0,-1.0,-1.0,-1.0,0.152355,-1.0,-1.0,0.048095,-1.0,0.21560414285714286
2023-11-15,382.9932556152344,-1.0,-0.1306845,0.038989,0.1500718888888889,-1.0,-1.0,0.133132,0.08841450000000001,0.285702,-1.0,0.118059,-1.0,-1.0,0.082859,-0.09627933333333334,0.24466739999999998,0.413174,-1.0,0.21331699999999998,-1.0,0.014604,-1.0,-1.0,0.117406,-1.0,0.326655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23911145454545454
2023-11-16,383.32098388671875,-1.0,-0.0915965,-1.0,0.14816016666666668,0.02221200000000001,-1.0,-0.133631,0.064649,0.2779785,-0.004912,-1.0,-1.0,-1.0,-0.09289675,-0.084409,0.16731659999999998,0.314726,-1.0,0.13684549999999998,-1.0,-0.212299,-1.0,-1.0,0.20281933333333335,-1.0,0.113543,-1.0,-0.127638,0.030906,-1.0,-1.0,-1.0,-1.0,0.038256,-1.0,-1.0,-1.0,0.166965,0.419616
